level,cluster_index,population,msd
27,4,277,3.45861
27,5,210,0.65449
27,6,216,3.69111
27,7,198,1.84643
27,8,170,3.85149
27,9,226,4.03282
27,10,284,3.29361
27,11,205,2.65762
27,12,286,3.81457
27,13,157,2.90641
27,14,189,3.28926
27,15,146,4.29532
27,16,209,3.53977
27,17,167,3.60443
27,18,211,3.71400
27,19,132,4.17189
27,20,192,3.42103
27,21,163,3.13832
27,22,90,4.29974
27,23,215,3.26389
27,24,199,2.83538
27,25,146,3.05027
27,26,130,3.00046
27,27,166,3.62017
28,0,452,2.23997
28,1,154,1.00793
28,2,516,1.88518
28,3,295,3.31900
28,4,277,3.45861
28,5,210,0.65449
28,6,216,3.69111
28,7,198,1.84643
28,8,170,3.85149
28,9,226,4.03282
28,10,284,3.29361
28,11,205,2.65762
28,12,157,2.90641
28,13,189,3.28926
28,14,146,4.29532
28,15,209,3.53977
28,16,167,3.60443
28,17,211,3.71400
28,18,132,4.17189
28,19,192,3.42103
28,20,163,3.13832
28,21,90,4.29974
28,22,215,3.26389
28,23,199,2.83538
28,24,146,3.05027
28,25,130,3.00046
28,26,166,3.62017
28,27,146,3.27509
28,28,140,3.46826
29,0,154,1.00793
29,1,516,1.88518
29,2,295,3.31900
29,3,277,3.45861
29,4,210,0.65449
29,5,216,3.69111
29,6,198,1.84643
29,7,170,3.85149
29,8,226,4.03282
29,9,284,3.29361
29,10,205,2.65762
29,11,157,2.90641
29,12,189,3.28926
29,13,146,4.29532
29,14,209,3.53977
29,15,167,3.60443
29,16,211,3.71400
29,17,132,4.17189
29,18,192,3.42103
29,19,163,3.13832
29,20,90,4.29974
29,21,215,3.26389
29,22,199,2.83538
29,23,146,3.05027
29,24,130,3.00046
29,25,166,3.62017
29,26,146,3.27509
29,27,140,3.46826
29,28,349,1.03025
29,29,103,3.95354
